,date,station_complex_id,station_complex,borough,routes,latitude,longitude,monthly_ridership
142,2022-02,N095,"Fulton St (A,C,J,Z,2,3,4,5)",M,"J,C,3,2,5,Z,4,A",40.71037292480469,-74.0065689086914,871717
143,2022-02,N100,"High St (A,C)",BK,"C,A",40.699337005615234,-73.99053192138672,125392
144,2022-02,N103,"Jay St-MetroTech (A,C,F,R)",BK,"F,C,R,A",40.69233703613281,-73.9859390258789,448054
145,2022-02,N108,"Hoyt-Schermerhorn Sts (A,C,G)",BK,"C,G,A",40.68848419189453,-73.98500061035156,144234
146,2022-02,N110,Lafayette Av (C),BK,C,40.68611145019531,-73.97394561767578,69212
147,2022-02,N111,Clinton-Washington Avs (C),BK,C,40.68326187133789,-73.96583557128906,84013
148,2022-02,N114,"Franklin Av (C,S)",BK,"C,S",40.68138122558594,-73.95684814453125,72954
149,2022-02,N116,"Nostrand Av (A,C)",BK,"C,A",40.68043899536133,-73.95042419433594,218100
150,2022-02,N119,Kingston-Throop Avs (C),BK,C,40.6799201965332,-73.94085693359375,82642
151,2022-02,N120,"Utica Av (A,C)",BK,"C,A",40.67936325073242,-73.93073272705078,181132
152,2022-02,N121B,Ralph Av (C),BK,C,40.6788215637207,-73.92078399658203,67138
153,2022-02,N122,Rockaway Av (C),BK,C,40.678340911865234,-73.91194915771484,66547
154,2022-02,N124,"Broadway Junction (A,C,J,L,Z)",BK,"J,C,Z,A,L",40.67949676513672,-73.90451049804688,104906
155,2022-02,N125,Liberty Av (C),BK,C,40.67454147338867,-73.89654541015625,33294
156,2022-02,N126,Van Siclen Av (C),BK,C,40.67271041870117,-73.8903579711914,36322
157,2022-02,N127,Shepherd Av (C),BK,C,40.674129486083984,-73.88075256347656,38560
158,2022-02,N128,"Euclid Av (A,C)",BK,"C,A",40.67537689208984,-73.87210845947266,126620
159,2022-02,N129,Grant Av (A),BK,A,40.67704391479492,-73.86505126953125,70864
160,2022-02,N131,80 St (A),Q,A,40.67937088012695,-73.85899353027344,59034
161,2022-02,N133,88 St (A),Q,A,40.67984390258789,-73.85147094726562,36724
162,2022-02,N134,Rockaway Blvd (A),Q,A,40.68042755126953,-73.84385681152344,102144
163,2022-02,N137,104 St (A),Q,A,40.68170928955078,-73.83768463134766,20918
164,2022-02,N139,111 St (A),Q,A,40.684329986572266,-73.83216094970703,31921
165,2022-02,N141,Ozone Park-Lefferts Blvd (A),Q,A,40.68595123291016,-73.82579803466797,95369
166,2022-02,N181,Aqueduct-North Conduit Av (A),Q,A,40.668235778808594,-73.83406066894531,10065
167,2022-02,N181A,Aqueduct Racetrack (A),Q,A,40.672096252441406,-73.83592224121094,15018
168,2022-02,N182,Howard Beach-JFK Airport (A),Q,A,40.66047668457031,-73.8302993774414,30769
169,2022-02,N183,"Broad Channel (A,S)",Q,"S,A",40.60838317871094,-73.81592559814453,4083
170,2022-02,N184,"Beach 90 St (A,S)",Q,"S,A",40.588035583496094,-73.81364440917969,7825
171,2022-02,N185,"Beach 98 St (A,S)",Q,"S,A",40.58530807495117,-73.820556640625,5365
172,2022-02,N186,"Beach 105 St (A,S)",Q,"S,A",40.58320999145508,-73.82756042480469,2591
173,2022-02,N187,"Rockaway Park-Beach 116 St (A,S)",Q,"S,A",40.580902099609375,-73.8355941772461,8965
174,2022-02,N191,Beach 67 St-Arverne By The Sea (A),Q,A,40.59092712402344,-73.79692077636719,27685
175,2022-02,N192,Beach 60 St (A),Q,A,40.59237289428711,-73.78852081298828,25404
176,2022-02,N193,Beach 44 St (A),Q,A,40.59294128417969,-73.77601623535156,9569
177,2022-02,N194,Beach 36 St (A),Q,A,40.59539794921875,-73.76817321777344,12354
178,2022-02,N195,Beach 25 St (A),Q,A,40.60006713867188,-73.7613525390625,23595
