,station_complex_id,station_complex,borough,routes,latitude,longitude,average_monthly_ridership
102,J025,Cypress Hills (J),BK,J,40.68994140625,-73.87255096435547,22929.619047619046
103,J028,"75 St-Elderts Ln (J,Z)",Q,"J,Z",40.69132232666016,-73.86714172363281,44903.95238095238
104,J030,85 St-Forest Pkwy (J),Q,J,40.69243621826172,-73.8600082397461,62926.666666666664
105,J031,"Woodhaven Blvd (J,Z)",Q,"J,Z",40.693878173828125,-73.85157775878906,60506.57142857143
106,J034,"104 St (J,Z)",Q,"J,Z",40.6951789855957,-73.84432983398438,44814.857142857145
107,J035,111 St (J),Q,J,40.69741821289063,-73.83634185791016,36204.57142857143
108,J037,"121 St (J,Z)",Q,"J,Z",40.70049285888672,-73.82829284667969,39246.619047619046
109,K017,Central Av (M),BK,M,40.69785690307617,-73.92739868164062,67446.19047619047
110,K019,Knickerbocker Av (M),BK,M,40.69866561889648,-73.91970825195312,69446.09523809524
111,K022,Seneca Av (M),Q,M,40.702762603759766,-73.9077377319336,47752.23809523809
112,K024,Forest Av (M),Q,M,40.70442199707031,-73.903076171875,74177.38095238095
113,K025,Fresh Pond Rd (M),Q,M,40.70618438720703,-73.8958740234375,99215.80952380953
114,K026,Middle Village-Metropolitan Av (M),Q,M,40.71139526367188,-73.88960266113281,66075.76190476191
115,N002A,Inwood-207 St (A),M,A,40.868072509765625,-73.9198989868164,136174.7619047619
116,N003,Dyckman St (A),M,A,40.8654899597168,-73.9272689819336,103778.90476190476
117,N006A,190 St (A),M,A,40.8590202331543,-73.9341812133789,71604.80952380953
118,N007A,181 St (A),M,A,40.8516960144043,-73.9379653930664,149361.0
119,N010,175 St (A),M,A,40.847389221191406,-73.93970489501953,180733.80952380953
120,N016A,163 St-Amsterdam Av (C),M,C,40.83601379394531,-73.93989562988281,67314.47619047618
121,N017,155 St (C),M,C,40.83051681518555,-73.94151306152344,42706.0
122,N019,"145 St (A,B,C,D)",M,"C,B,A,D",40.82478332519531,-73.9442138671875,374268.71428571426
123,N024,"135 St (B,C)",M,"C,B",40.8178939819336,-73.94764709472656,88378.0
124,N026,"125 St (A,B,C,D)",M,"C,B,A,D",40.81110763549805,-73.95234680175781,451113.0
125,N030,"116 St (B,C)",M,"C,B",40.805084228515625,-73.95487976074219,118459.19047619047
126,N035,"Cathedral Pkwy-110 St (B,C)",M,"C,B",40.80060195922852,-73.95816040039062,134211.33333333334
127,N037,"103 St (B,C)",M,"C,B",40.79609298706055,-73.96145629882812,81488.42857142857
128,N040,"96 St (B,C)",M,"C,B",40.79164123535156,-73.9646987915039,164794.90476190476
129,N043,"86 St (B,C)",M,"C,B",40.78586959838867,-73.96891784667969,188865.85714285713
130,N044,"81 St-Museum of Natural History (B,C)",M,"C,B",40.78143310546875,-73.9721450805664,259572.61904761905
131,N046,"72 St (B,C)",M,"C,B",40.77559280395508,-73.97640991210938,174886.90476190476
132,N049,"59 St-Columbus Circle (A,B,C,D,1)",M,"C,1,B,A,D",40.76829528808594,-73.98173522949219,1228003.7142857143
133,N056,"50 St (C,E)",M,"C,E",40.762454986572266,-73.9859848022461,367714.2380952381
134,N060,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",M,"3,C,1,2,S,7,F,M,E,N,R,Q,,B,W,A,D",40.75730895996094,-73.98196411132812,4078894.4285714286
135,N070,"34 St-Penn Station (A,C,E)",M,"C,E,A",40.752288818359375,-73.99339294433594,1305814.5238095238
136,N076,"23 St (C,E)",M,"C,E",40.745906829833984,-73.99803924560547,340655.38095238095
137,N078,"14 St (A,C,E)/8 Av (L)",M,"C,E,,A,L",40.74089431762695,-74.00169372558594,837742.1904761905
138,N080,"West 4 St-Washington Sq (A,B,C,D,E,F,M)",M,"F,M,C,E,B,A,D",40.73233795166016,-74.00049591064453,755150.7142857143
139,N086,"Spring St (C,E)",M,"C,E",40.72622680664063,-74.00373840332031,224148.80952380953
140,N089,"Canal St (A,C,E)",M,"C,E,A",40.7208251953125,-74.0052261352539,299698.28571428574
141,N094,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",M,"3,C,E,2,R,,A,W",40.714111328125,-74.00858306884766,943274.9047619047
142,N095,"Fulton St (A,C,J,Z,2,3,4,5)",M,"J,C,3,2,5,Z,4,A",40.71037292480469,-74.0065689086914,1368296.5238095238
143,N100,"High St (A,C)",BK,"C,A",40.699337005615234,-73.99053192138672,182636.0
144,N103,"Jay St-MetroTech (A,C,F,R)",BK,"F,C,R,A",40.69233703613281,-73.9859390258789,587794.0
145,N108,"Hoyt-Schermerhorn Sts (A,C,G)",BK,"C,G,A",40.68848419189453,-73.98500061035156,212824.85714285713
146,N110,Lafayette Av (C),BK,C,40.68611145019531,-73.97394561767578,97639.38095238095
147,N111,Clinton-Washington Avs (C),BK,C,40.68326187133789,-73.96583557128906,121931.57142857143
148,N114,"Franklin Av (C,S)",BK,"C,S",40.68138122558594,-73.95684814453125,96449.61904761905
149,N116,"Nostrand Av (A,C)",BK,"C,A",40.68043899536133,-73.95042419433594,299102.38095238095
150,N119,Kingston-Throop Avs (C),BK,C,40.6799201965332,-73.94085693359375,113036.09523809524
151,N120,"Utica Av (A,C)",BK,"C,A",40.67936325073242,-73.93073272705078,236217.80952380953
152,N121B,Ralph Av (C),BK,C,40.6788215637207,-73.92078399658203,86936.28571428571
153,N122,Rockaway Av (C),BK,C,40.678340911865234,-73.91194915771484,86504.80952380953
154,N124,"Broadway Junction (A,C,J,L,Z)",BK,"J,C,Z,A,L",40.67949676513672,-73.90451049804688,137752.42857142858
155,N125,Liberty Av (C),BK,C,40.67454147338867,-73.89654541015625,40118.142857142855
156,N126,Van Siclen Av (C),BK,C,40.67271041870117,-73.8903579711914,42542.666666666664
157,N127,Shepherd Av (C),BK,C,40.674129486083984,-73.88075256347656,46350.80952380953
158,N128,"Euclid Av (A,C)",BK,"C,A",40.67537689208984,-73.87210845947266,165252.57142857142
159,N129,Grant Av (A),BK,A,40.67704391479492,-73.86505126953125,92213.0
160,N131,80 St (A),Q,A,40.67937088012695,-73.85899353027344,73530.71428571429
161,N133,88 St (A),Q,A,40.67984390258789,-73.85147094726562,46495.333333333336
162,N134,Rockaway Blvd (A),Q,A,40.68042755126953,-73.84385681152344,126088.42857142857
163,N137,104 St (A),Q,A,40.68170928955078,-73.83768463134766,26265.904761904763
164,N139,111 St (A),Q,A,40.684329986572266,-73.83216094970703,38846.57142857143
165,N141,Ozone Park-Lefferts Blvd (A),Q,A,40.68595123291016,-73.82579803466797,111224.14285714286
166,N181,Aqueduct-North Conduit Av (A),Q,A,40.668235778808594,-73.83406066894531,13111.47619047619
167,N181A,Aqueduct Racetrack (A),Q,A,40.672096252441406,-73.83592224121094,17348.380952380954
168,N182,Howard Beach-JFK Airport (A),Q,A,40.66047668457031,-73.8302993774414,52120.52380952381
169,N183,"Broad Channel (A,S)",Q,"S,A",40.60838317871094,-73.81592559814453,4764.047619047619
170,N184,"Beach 90 St (A,S)",Q,"S,A",40.588035583496094,-73.81364440917969,15168.285714285714
171,N185,"Beach 98 St (A,S)",Q,"S,A",40.58530807495117,-73.820556640625,8369.857142857143
172,N186,"Beach 105 St (A,S)",Q,"S,A",40.58320999145508,-73.82756042480469,5465.476190476191
173,N187,"Rockaway Park-Beach 116 St (A,S)",Q,"S,A",40.580902099609375,-73.8355941772461,13434.57142857143
174,N191,Beach 67 St-Arverne By The Sea (A),Q,A,40.59092712402344,-73.79692077636719,38872.95238095238
175,N192,Beach 60 St (A),Q,A,40.59237289428711,-73.78852081298828,29552.04761904762
176,N193,Beach 44 St (A),Q,A,40.59294128417969,-73.77601623535156,11490.190476190477
177,N194,Beach 36 St (A),Q,A,40.59539794921875,-73.76817321777344,14587.666666666666
178,N195,Beach 25 St (A),Q,A,40.60006713867188,-73.7613525390625,26612.666666666668
179,N196,Far Rockaway-Mott Av (A),Q,A,40.60399627685547,-73.75540161132812,68495.23809523809
180,N202,"155 St (B,D)",M,"B,D",40.83013534545898,-73.9382095336914,50727.19047619047
181,N203,"161 St-Yankee Stadium (B,D,4)",BX,"4,B,D",40.82799530029297,-73.92565155029297,443421.5238095238
182,N207,"167 St (B,D)",BX,"B,D",40.833770751953125,-73.91844177246094,119802.71428571429
183,N209,"170 St (B,D)",BX,"B,D",40.83930587768555,-73.91339874267578,88261.0
184,N210,"174-175 Sts (B,D)",BX,"B,D",40.84590148925781,-73.9101333618164,67964.95238095238
185,N213,"Tremont Av (B,D)",BX,"B,D",40.85041046142578,-73.90522766113281,110364.23809523809
186,N215,"182-183 Sts (B,D)",BX,"B,D",40.85609436035156,-73.90074157714844,69245.57142857143
187,N217,"Fordham Rd (B,D)",BX,"B,D",40.86129760742188,-73.89775085449219,155782.2380952381
188,N221,"Kingsbridge Rd (B,D)",BX,"B,D",40.86697769165039,-73.89350891113281,97250.76190476191
189,N222,"Bedford Park Blvd (B,D)",BX,"B,D",40.87324523925781,-73.88713836669922,101254.19047619047
190,N224,Norwood-205 St (D),BX,D,40.87480926513672,-73.87885284423828,110410.33333333333
191,N301,"7 Av (B,D,E)",M,"E,B,D",40.76286315917969,-73.98163604736328,291159.6666666667
192,N303,"5 Av-53 St (E,M)",M,"M,E",40.76016616821289,-73.97522735595703,339327.04761904763
193,N305,"Lexington Av-53 St (E,M)/51 St (6)",M,"M,E,,6",40.75755310058594,-73.96905517578125,870216.4761904762
194,N307,"Court Sq (E,G,M,7)",Q,"M,E,G,7",40.74784469604492,-73.94383239746094,409228.8095238095
195,N309A,"Queens Plaza (E,M,R)",Q,"M,E,R",40.74897384643555,-73.93724060058594,260536.95238095237
196,N312,"36 St (M,R)",Q,"M,R",40.75204086303711,-73.92877960205078,64929.57142857143
197,N315,"Steinway St (M,R)",Q,"M,R",40.75687789916992,-73.92073822021484,223880.7142857143
198,N316,"46 St (M,R)",Q,"M,R",40.75631332397461,-73.913330078125,136755.80952380953
199,N318,"Northern Blvd (M,R)",Q,"M,R",40.75288391113281,-73.906005859375,111824.95238095238
200,N322,"65 St (M,R)",Q,"M,R",40.74966812133789,-73.89845275878906,58399.23809523809
201,N325A,"Elmhurst Av (M,R)",Q,"M,R",40.742454528808594,-73.88201904296875,211683.57142857142
202,N327,"Grand Av-Newtown (M,R)",Q,"M,R",40.73701477050781,-73.8772201538086,310456.7619047619
203,N329,"Woodhaven Blvd (M,R)",Q,"M,R",40.73310470581055,-73.86923217773438,336678.3333333333
204,N330B,"63 Dr-Rego Park (M,R)",Q,"M,R",40.7298469543457,-73.86160278320312,245069.90476190476
205,N331,"67 Av (M,R)",Q,"M,R",40.726524353027344,-73.85272216796875,131365.42857142858
206,N333A,"Forest Hills-71 Av (E,F,M,R)",Q,"F,M,E,R",40.7216911315918,-73.84452056884766,442844.95238095237
207,N334B,"75 Av (E,F)",Q,"F,E",40.71833038330078,-73.83732604980469,54102.04761904762
208,N336,"Kew Gardens-Union Turnpike (E,F)",Q,"F,E",40.71443939208984,-73.83100891113281,399660.38095238095
